DESIGNATION	REFERENCE	QUANTITE	PRIX UNITAIRE
GRAISSE MULTITEK 2 EN KG	MULTITEK 2 EN KG	18.00	43.8800
BOULON TH 6X80	6X80	80.00	1.1000
FILTRE A HUILE LS489A	LS489A	2.00	90.0000
CLE MALE SIX PANS 7 MM	7 MM	1.00	28.0000
COURROIE B-98	B-98	2.00	110.0000
FLOTEUR ELECTRIQUE 5MT	5MT	1.00	115.0000
DILUANT CELLULOSIQUE 4,5 LTS SODECSO	4,5 LTS	2.00	89.0000
PAQUET ELECTRODE G49-D 4	G49-D 4	2.00	250.0000
COURROIE A-57	A-57	2.00	60.0000
CHAPES A PICOTS PP 16M/M	PP 16M/M	6000.00	0.1200
BOBINE FEUILLARD EN POLYPROPYLENE PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	20.00	320.0000
SCOTCH TRANSPARENT 50mmX100M	50mmX100M	720.00	9.8000
ROULEMENT 6202	6202	6.00	38.0000
COURROIE B-105	B-105	12.00	115.0000
FER PLAT 80X6X1000MM	80X6X1000MM	1.00	380.0000
GANT CUIR M/C	M/C	80.00	10.0000
PEINTURE GRISE ARLAC-5KG	ARLAC-5KG	1.00	165.0000
GANT NOIR ARMANO	ARMANO	4.00	10.0000
PORTE CLE EN PLASTIC 113220	113220	12.00	1.2000
DILUANT CELLULOSIQUE 4,5 LTS SODECSO	4,5 LTS	2.00	89.0000
POIGNEE PORTE SS	SS	1.00	135.0000
MASTIC DE REMPLISSAGE 14460	14460	1.00	25.0000
MINIUM FER ROUGE 5KG	5KG	1.00	80.0000
JEU CHARBON BOSCH-1109	BOSCH-1109	2.00	41.6700
HUILE 15W-40 5L	15W-40	4.00	210.0000
GANT NOIR ARMANO	ARMANO	5.00	10.0000
POIGNEE PORTE SS	SS	5.00	135.0000
PROJECTEUR LED 30W	30W	1.00	200.0000
SERRURE ENCASTRABLE GAB	GAB	1.00	125.0000
GROUPE BROSSE 110319	110319	2.00	1423.9000
POULIE 25.03.257	25.03.257	1.00	1417.8100
ELECTROVANNE 05576048	05576048	1.00	1347.4700
INVERTER CCT+0005578	CCT+0005578	1.00	1885.5000
ROULEAU L.1750 89.03.423.X3	89.03.423.X3	30.00	400.8700
PIGNON 56.03.025	56.03.025	1.00	349.1300
SUPPORT ROULEAU 025234	025234	50.00	29.7100
CYLINDRE 100128.A	100128.A	1.00	489.9200
GROUPE BROSSE 110320	110320	2.00	1433.5200
RACLEUR CAS17505018	17505018	4.00	1040.6700
MOTOVARIATEUR SF/05-0,37KW-1500T/MIN-160/14-SIB-C12-008	C12-008	2.00	5382.3000
CAPTEUR METALIQUE 070120	070120	2.00	89.0400
ROULEAU L.1680 79.03.477.X3A	79.03.477.X3A	9.00	423.1100
INVERTER DCL24586905	24586905	1.00	18426.1300
MOTEUR ELECTRIQUE T63 030175	030175	2.00	1788.9700
FICHE PROFIBUS DCL24585902	24585902	1.00	20608.1800
MOTOVARIATEUR SF/010 G=190/950-0,75KW-1500T/MIN-B=200 D.19-SIB-C12-010	C12-010	2.00	6349.4300
FILTRE CARTOUCHE 05671872	05671872	2.00	783.2500
FILTRE CARTOUCHE 05673900	05673900	2.00	1469.4400
CONTACTEUR-SIEMENS- 3RT1015 SIB-C1-771	C1-771	2.00	101.1200
CONTACTEUR-SIEMENS- 3RT1015 SIB-C1-880	C1-880	2.00	76.8600
CONNECTEUR 091141	091141	3.00	163.2300
CONTACTEUR-SIEMENS- 3RT1016 SIB-C1-789	C1-789	2.00	84.9800
CONTACTEUR-SIEMENS- 3RT1017 SIB-C1-1886	C1-1886	2.00	273.0200
CONTACTEUR-SIEMENS- 3RT1024 SIB-C1-3128	C1-3128	2.00	302.0900
CONTACTEUR-SIEMENS- 3RT1025 SIB-C1-1921	C1-1921	2.00	407.5000
CONTACTEUR-SIEMENS- 3RT1026 SIB-C1-3040	C1-3040	2.00	422.5700
CONTACTEUR-SIEMENS- 3RT1034 SIB-C1-2342	C1-2342	2.00	607.1900
CONTACTEUR-SIEMENS- 3RT1035 SIB-C49-182	C49-182	2.00	681.0500
ELECTROVANNE 05576059	05576059	1.00	891.4300
MOTEUR 7107B351010UE	7107B351010UE	1.00	779.4000
FILTRE CARTOUCHE 05673970	05673970	2.00	389.5400
MOTEUR ELECTRIQUE 03006056	03006056	4.00	1490.1800
FILTRE CARTOUCHE 05673018	05673018	2.00	223.1000
FILTRE CARTOUCHE 05673023	05673023	2.00	771.0600
DISJONCTEUR 5SX21 5SY6106-7 SIB-C1-3297	C1-3297	2.00	126.3500
DISJONCTEUR 5SX21 5SY6104-7 SIB-C49-262	C49-262	2.00	126.3500
DISJONCTEUR 5SX21 5SY6101-7 SIB-C49-261	C49-261	1.00	126.3500
FILTRE CARTOUCHE 05673042	05673042	2.00	230.1500
DISQUE A TRONCONNER 230X6,5X22,23	230X6,5X22,23	5.00	25.0000
GROUPE ROULEAU 56.01.314	56.01.314	4.00	133.7300
HUILE SPINDLE-10W 20LT	10W 20LT	1.00	708.0000
FILTRE CARTOUCHE 05673816	05673816	2.00	555.6600
PEINTURE ROUGE RAMACOLOR-5KG	RAMACOLOR-5KG	3.00	135.0000
REDUCTEUR NMRV/040-I:7,5-140/11-D19-700302061	700302061	2.00	713.1200
REDUCTEUR NMRV/040 SIB-C13-022	C13-022	1.00	616.5900
COURROIE THERMO-SOUDABLE 64.03.358	64.03.358	60.00	51.9500
RELAIS A BROCHE SIB-C43-087	C43-087	2.00	91.8200
RELAIS A BROCHE SIB-C43-089	C43-089	2.00	99.6300
REDUCTEUR NMRV/040-I:25-140/11-D19-SIB-C13-106	C13-106	2.00	713.1200
RELAIS A BROCHE SIB-C43-019	C43-019	2.00	88.8300
RELAIS A BROCHE SIB-C43-036	C43-036	2.00	36.3400
POMPE REFRIGERATEUR ENEA PLUS	§FIFLP0273	1.00	13358.5400
CAPTEUR DE SECURITE 070132	070132	2.00	674.9600
TEMPORISATEUR SIB-C43-125	C43-125	2.00	586.7700
ELECTROVANNE CC26100016	CC26100016	10.00	357.1500
ROULEMENT 206-UC	206-UC	6.00	35.0000
PERNO 92201017	92201017	2.00	610.7100
REDUCTEUR NMRV/050-I:80 160/14 D.25 SIB-C13-072	C13-072	2.00	929.3800
ROULEAU L.1750  89.03.423.X3	89.03.423.X3	4.00	400.8700
COURROIE DENTEE 02048651 MTS	02048651	12.00	542.7300
CONNECTEUR 01.02.563	01.02.563	8.00	51.9500
LANTERNE 05810006	05810006	1.00	381.2000
REDUCTEUR NMRV/050 1:25 160/14 D.25 SIB-C13-044	C13-044	2.00	906.6100
GARNITURE 05008136	05008136	20.00	1.1700
POULIE 89.03.202	89.03.202	25.00	81.6700
ROULEAU L.1680 79.03.477.X3	79.03.477.X3	20.00	467.6800
REDUCTEUR NMRV/040-I:10-140/11-D19-700303061	700303061	2.00	695.9100
GARNITURE 05810007	05810007	1.00	87.1200
REDUCTEUR NMRV/050 1:20 160/14 D.25 SIB-C13-003	C13-003	2.00	929.3800
REDUCTEUR NMRV/050 1:10 160/14 D.25 SIB-C13-011	C13-011	2.00	929.3800
GARNITURE 05008132	05008132	10.00	1.0600
POMPE  05603866	05603866	1.00	35353.6400
REDUCTEUR NMRV/050 1:7,5 160/14 D.25 SIB-C13-023	C13-023	2.00	906.6100
REDUCTEUR NMRV 700505051	700505051	1.00	1448.4900
GROUPE ROULEAU 56.01.346	56.01.346	4.00	133.7300
HUILE MEGA-40  5LT	MEGA-40  5LT	4.00	178.0000
RELAIS TEMPORISATEUR SIB-C43-134	C43-134	2.00	675.3900
RELAIS A BROCHE SIB-C43-090	C43-090	2.00	98.2400
CATAPHOTE 13011000000	13011000000	1.00	13.0000
RONDELLE PLATE 12X30	12X30	360.00	0.5000
CATAPHOTE 301400000	301400000	1.00	8.0000
INVERTER CCT+0005826	CCT+0005826	2.00	1729.6400
REDUCTEUR NMRV/040 SIB-C13-079	C13-079	1.00	594.2500
BAGUE TRACTION ROULEAU 79.03.478	79.03.478	2.00	44.5700
GROUPE POULIE FOLLE 01.01.083	01.01.083	4.00	133.6200
BAGUE TRACTION 65.03.208	65.03.208	10.00	14.8500
ANNEAU POLYCORD 56.03.087	56.03.087	1.00	156.0700
DISJONCTEUR 2P-10A	2P-10A	12.00	45.0000
BROSSE COUPE FIL ONDULE D.ext=100mm	D.ext=100mm	4.00	80.0000
ROULEAU PEINTURE 10CM	10CM	4.00	12.0000
HUILE SPINDLE-10W 20LT	10W 20LT	3.00	708.0000
DISJONCTEUR 4P-63A-ABB	4P-63A-ABB	1.00	380.0000
MOTEUR ELECTRIQUE 4KW T112 1500TR 2/3 V B3	4KW T112 1500TR 2/3 V B3	1.00	1500.0000
BATTERIE POWER M14	M14	2.00	1700.0000
HUILE MEGA-40 20LT	MEGA-40 20LT	2.00	705.0000
CABLE ELECTRIQUE SOUPLE 4X4mm²	4X4mm²	50.00	25.0000
CABLE U1000-RO2V-1X50MM²	U1000-RO2V-1X50MM²	20.00	0.0000
BORNE SUR RAIL 16mm²	16mm²	4.00	12.5000
IMPRIMATION GRISE SODECSO-5KG	SODECSO-5KG	4.00	105.0000
HUILE MEGA-40  5LT	MEGA-40  5LT	4.00	178.0000
MANCHE ENGOBEUSE SPIRGUM ORANGE L=1000  111013	111013	2.00	0.0000
DISJONCTEUR 2P-16A	2P-16A	6.00	45.0000
BROSSE PEINTURE PLATE 30-60MM	30-60MM	4.00	25.0000
PORTE ROULEAU COURT UNIVERSEL 10CM	10CM	10.00	7.0000
PEINTURE GRISE ARLAC-5KG	ARLAC-5KG	4.00	165.0000
BANDE PVC BLEUE 2 PLIS L=2800MM-LARGEUR=350MM-EP=2MM JONCTION FERMEE	2PLIS L=2800MM-LARGEUR=350MM-EP=2MM	2.00	550.0000
COSSE BATTERIE PLUS MOINS	PLUS MOINS	4.00	25.0000
LUNETTE PVC OCULAIRE 10122	10122	2.00	20.8300
BOITE GRAISSE FUCHS 3KG	3KG	1.00	165.0000
AXE REDUCTEUR D19-CLV=6	D19-CLV=6	1.00	200.0000
COSSE FOURCHETTE 2,5	2,5	100.00	0.5000
DEVIDOIR MANUEL ATYT	ATYT	4.00	80.0000
COSSE TERMINALE EMBOUT 0,75	EMBOUT 0,75	100.00	0.1000
ECROU D20	D20	200.00	2.8500
PRISE ETANCHE FEMELLE 2P+T-220V	2P+T-220V	2.00	21.0000
EMBOUT 2,5	EMBOUT 2,5	100.00	0.2000
VIS AUTO PERCEUSE 6,3X32	6,3X32	2000.00	1.1500
REGLETTE ETANCHE LED SIMPLE 1X18	1X18	2.00	145.0000
TUBE FLUO LED 1,20 M	1,20 M	2.00	28.0000
BOULON TH 12X30	12X30	180.00	1.8000
PAQUET ELECTRODE G49-D 4	G49-D 4	1.00	250.0000
RONDELLE PLATE D20	D20	400.00	0.6000
CHEVILLE METALIQUE MALE 8X120	8X120	30.00	3.0000
BOULON TH 20X60	20X60	200.00	7.4000
COSSE TERMINALE EMBOUT 1	1	100.00	0.1500
INTERRUPTEUR DOUBLE 10613	10613	1.00	35.0000
BORNE DE PUISSANCE 120MM	120MM	1.00	280.0000
DILUANT CELLULOSIQUE 4,5 LTS SODECSO	4,5 LTS	2.00	89.0000
CONTACTEUR LC1 D32-110V	LC1 D32-110V	1.00	650.0000
CONTACTEUR LC1 D32-220V	LC1 D32-220V	1.00	650.0000
TALOCHE KAPRIOL 25X42	25X42	1.00	48.0000
TALOCHE KAPRIOL 18X27	18X27	1.00	25.0000
PANNEAU ISO MUR 4 CM	4 CM	60.00	225.0000
TOLE GALVANISE 14/10(2X1)	14/10(2X1)	1.00	310.0000
JEU COURROIE 7M4705	7M4705	1.00	430.0000
TOLE GALVANISE 20/10(3X1,5)	20/10(3X1,5)	1.00	1600.0000
CORNIERE 40X40X1,5	40X40X1,5	8.00	80.0000
HUILE SPINDLE-10W 20LT	10W 20LT	1.00	708.0000
HUILE VP SAE-90	VP SAE-90	20.00	33.0000
PLINTHE(METRE) 25X16	25X16	4.00	9.0000
ROULEMENT 206-UC	206-UC	4.00	35.0000
SCOTCH ISOLANT 25X25	25X25	1.00	15.0000
COLLIER SERRAGE 10X16	10X16	5.00	2.0000
MESURE CENTIGRAFFE 5MTS-7000/5	5MTS-7000/5	2.00	70.0000
CORDE NYLON EN KG	SS	3.20	32.0000
EMBOUT DE VISSAGE 2PCS	2PCS	2.00	12.0000
RACCORD RAPIDE 16X1/2	16X1/2	1.00	61.0000
RACCORD BSP-MALE 3/4X3/4	3/4X3/4	1.00	45.0000
CLAPET ANTI-RETOUR 3/4MX3/4F	3/4MX3/4F	2.00	205.0000
RACCORD BSP-FEMELLE 3/4X3/4	3/4X3/4	2.00	30.0000
BAGUE HP-R2-3/4"	HP-R2-3/4"	4.00	20.8400
TUYEAU HP R1-3/4	R1-3/4	1.15	50.0000
MANCHON 3/4"X3/4"	3/4"X3/4"	1.00	20.8400
TUBE AIR D16	D16	3.00	49.0000
ADAPTEUR HP-3/4X3/4	HP-3/4X3/4	2.00	25.0000
CABLE SOUPLE SE1V 4X6MM²	4X6MM²	27.00	45.0000
REDUCTION MM 3/4X1"	3/4X5/8	1.00	27.0000
MANCHON 3/4"X3/4"	3/4"X3/4"	1.00	20.8300
VANNE A BOISSEAU SPHERIQUE 3/4"	3/4"	1.00	65.0000
VIS TC 10X40	10X40	30.00	1.8000
MANCHON D 1/4	1/4	1.00	20.8300
DISJONCTEUR 5SX21 5SY6102-7 SIB-C49-263	C49-263	1.00	190.0000
COUDE FF 3/4"	FF 3/4"	1.00	7.5000
BOITE ETANCHE 100X100	100X100	2.00	7.0000
VIS TC 10X45	10X45	30.00	2.2000
TUBE PVC D32	D32	6.00	12.5000
DISJONCTEUR 3P-40A-ABB	3P-40A-ABB	1.00	120.0000
CABLE SOUPLE SE1V 4X10MM²	4X10MM²	45.00	60.0000
MANOMETRE D 50 0-16 BAR RA 1/4	D 50 0-16 BAR RA 1/4	1.00	65.0000
VALVE SECURITE D 3/4	D 3/4	1.00	165.0000
ADAPTEUR HP-3/4X3/4	HP-3/4X3/4	1.00	25.0000
DISJONCTEUR 3P-63A-ABB	3P-63A-ABB	1.00	325.0000
BROSSE PEINTURE PLATE 30-60MM	30-60MM	1.00	28.0000
ROULEAU PEINTURE 10CM	10CM	1.00	7.5000
PORTE ROULEAU COURT UNIVERSEL 10CM	10CM	1.00	7.5000
DISQUE A TRONCONNER 230X1,9X22,23	230X1,9X22,23	10.00	15.0000
BROSSE PEINTURE PLATE 30MM	30MM	1.00	11.0000
GANT CUIR M/C	M/C	80.00	12.5000
BLOC MULTIPRISE 3 PRISES 2P+T 16A 3X1 MM² CABLE: 3M	3X1 MM² CABLE: 3M	1.00	50.0000
HUILE SPINDLE-10W 20LT	10W 20LT	1.00	708.0000
BLOC MULTIPRISE 6 PRISES 2P+T 16A 34CM/1,5M-1566/3	34CM/1,5M-1566/3	1.00	75.0000
PEINTURE GRISE ARLAC-5KG	ARLAC-5KG	1.00	165.0000
POULIE 19.03.018	19.03.018	2.00	153.2100
TESTEUR TENSION NCV 1020 FC	1020 FC	1.00	250.0000
TALON AS NCR 1+1	NCR 1+1	20.00	18.0000
FILTRE CARTOUCHE 05673970	05673970	2.00	408.1200
CAPTEUR DE SECURITE 070132	070132	2.00	707.1600
COLLE NEOPRENE LIQUIDE BOSTIK-500GRS- SADER	SADER	1.00	30.0000
HUILE SPINDLE-10W 20LT	10W 20LT	1.00	708.0000
FUSIBLE 04050812	04050812	3.00	10.9700
FILTRE CARTOUCHE 05673042	05673042	2.00	241.1300
CONTACTEUR LC1 D32-110V	LC1 D32-110V	2.00	650.0000
CLE MALE A POIGNEE 3X100MM	3X100MM	3.00	12.0000
DISQUE RACLEUR D150-AXE 33-65SH SANS RECTIFICATION-CODE:29639	29639	300.00	30.8000
DISQUE A TRONCONNER 230X6,5X22,23	230X6,5X22,23	4.00	25.0000
ROULEMENT 6007	6007	4.00	58.0000
HUILE MEGA-40  5LT	MEGA-40  5LT	4.00	178.0000
HUILE 15W-40 5L	15W-40	1.00	210.0000
BANDE TRANSPORTEUSE-NOIRE L=9,3M-l=0,5M EP=8MM-3 PLIS JONCTIONEMENT FERME	L=9,3M-l=0,5M EP=8MM-3 PLIS JONCTIONEMENT FERME	1.00	2580.0000
INTERFACE-04961600	04961600	1.00	1869.2800
UNITE CONTROLE-04960605	04960605	3.00	1028.6000
UNITE CONTROLE-04960609	04960609	1.00	1964.0300
UNITE CONTROLE-04960633	04960633	1.00	1384.2000
UNITE CONTROLE-04960985	04960985	2.00	639.7400
UNITE CONTROLE-04960604	04960604	1.00	742.1100
UNITE CONTROLE TENS-04960986	04960986	1.00	453.7100
UNITE CONTROLE-04960602	04960602	4.00	175.2800
ENCODEUR INCREMENTAL-04460992	04460992	2.00	2565.1300
UNITE CONTROLE-04960606	04960606	5.00	521.6900
INTERFACE PROFIBUS-04960988	04960988	1.00	1523.4200
UNITE CONTROLE-04960990	04960990	3.00	242.5900
UNITE CONTROLE-04961604	04961604	1.00	2121.3900
VALVE MINISPHERIQUE-05168150	05168150	1.00	104.2700
VALVE SECURITE C/CASQUILLO-05220068	05220068	1.00	1605.2900
VALVE MAX PRESSION 05553008	05553008	1.00	869.9000
ELEMENT LOGIQUE 05552865	05552865	1.00	1053.0200
VALVE 05220076	05220076	1.00	761.3700
ENCODEUR-04460623	04460623	1.00	2892.2800
VALVE MAX PRESSION  05552012	05552012	1.00	1459.4700
RELAIS THERMIQUE-04005150	04005150	1.00	1390.9200
VALVE POUMON 05220202	05220202	2.00	1919.7900
VALVE MAX PRESSION 05553010	05553010	1.00	869.9000
ETOILE-03324203	03324203	2.00	270.0300
ROULEMENT RB 207-89892	89892	8.00	36.6300
ELECTROVANNE 05576005	05576005	7.00	623.0500
ROULEMENT RB 206-68122	68122	8.00	33.6600
VALVE MAX PRESSION 05553013	05553013	1.00	1671.1500
VANNE A MEMBRANE DROITE KB CI FILETEE Q DN-50 A 2"-61063	61063	2.00	6349.6400
FLEXIBLE A BAGUE R2-3/8	R2-3/8	1.00	100.0000
MOTEUR ELECTRIQUE T71C-03006003	03006003	1.00	1420.1600
MOTEUR ELECTRIQUE T132MA2/4-03022029	03022029	1.00	8984.6400
MOTEUR ELECTRIQUE T280S4-03033021	03033021	1.00	58094.4000
MOTEUR AUTOFR.POS.23 TAB.3-03045128	03045128	1.00	3129.2800
MOTEUR AUTOFR.BAX71B4-03045196	03045196	1.00	2288.1600
MOTEUR REDUCTEUR-03104162	03104162	1.00	1631.7200
TEMPORISATEUR-04013702	04013702	1.00	297.0200
JOINT ELASTIQUE-03324015	03324015	1.00	3108.7800
FIN COURSE 04431112	04431112	1.00	206.0800
MODULE EXPANSION-04007952	04007952	1.00	1728.7200
TEMPORISATEUR-04013768	04013768	1.00	574.2200
FUSIBLE 5X20-04050220	04050220	1.00	2.0100
FUSIBLE-04050808	04050808	2.00	18.4800
FUSIBLE-04050835	04050835	6.00	78.0600
MICRO-CONTACT-04072070	04072070	1.00	61.3700
RELAIS A BROCHE-04082335	04082335	1.00	105.3900
RELAIS A BROCHE-04082337	04082337	2.00	102.0300
POTENTIOMETRE-04098112	04098112	1.00	144.1400
TRANSDUCTEUR PRESSION-04400599	04400599	1.00	1400.1100
INTERRUPTEUR PROX-04420700	04420700	2.00	90.7200
FIN COURSE 04431110	04431110	1.00	171.3600
MOTEUR REDUCTEUR-03108112	03108112	1.00	15035.2100
ROUE 15004341	15004341	2.00	116.7000
COURROIE DENTEE 900H100 01.03.070	01.03.070	2.00	124.3200
ELECTROVANNE 53.02.024.A	53.02.024.A	1.00	715.5600
POULIE 50.02.006	50.02.006	2.00	70.0000
MICRO INTERRUPTEUR 33.03.719	33.03.719	1.00	101.1300
FIN COURSE 33.03.226	33.03.226	1.00	108.8600
ROUE 25.03.222	25.03.222	1.00	606.5900
COURROIE DENTEE HDT 1120-8M 25.03.147	25.03.147	1.00	145.3700
ELECTROVANNE 05572514	05572514	1.00	425.2600
POULIE 25.03.132	25.03.132	1.00	264.6500
VALVE PNEUMATIQUE 05558118	05558118	3.00	67.6400
GROUPE POULIE 25.01.002	25.01.002	4.00	108.8600
BAGUE TRACTION 65.03.208	65.03.208	82.00	15.5600
POULIE 19.03.018	19.03.018	3.00	116.7000
BAGUE BRONZE 67.03.022	67.03.022	4.00	31.1300
ROUE DENTEE 135355	135355	6.00	451.3600
ELECTROVANNE 100231.A	100231.A	1.00	840.0000
CONNECTEUR 091142	091142	3.00	256.4800
CAPTEUR DE SECURITE 070133	070133	2.00	730.4600
CAPTEUR MAGNETIQUE 070034	070034	4.00	163.1800
COURROIE DENTEE 1500H100 060489	060489	1.00	202.0400
REGULATEUR DE FLUX 02.02.030	02.02.030	2.00	62.2700
COURROIE DENTEE 360H100 01.03.506	01.03.506	2.00	69.8800
COURROIE DENTEE 1100H100 01.03.410	01.03.410	2.00	155.4500
POULIE 01.03.115	01.03.115	2.00	311.1300
COURROIE DENTEE 660H100 01.03.072	01.03.072	5.00	147.6100
GROUPE POULIE 25.01.001	25.01.001	4.00	225.5600
RETENTION 1502806	1502806	1.00	13608.8900
PC BOX SMC08539946	SMC08539946	1.00	42115.8000
CLAVIER FICHE PROFIBUS SMC08514918	SMC08514918	1.00	8255.5200
ADHESIF POUR CLAVIER SMC08511641	SMC08511641	1.00	352.3500
CLAVIER INFERIEUR SMC08511548	SMC08511548	1.00	1473.2400
FICHE CONTROLE NIVEAU TERRE SMC08504996	SMC08504996	1.00	3657.2400
PHOTOCELLULE E3FA-DP24-F2 SIB-C-721	SIB-C-721	10.00	155.4500
MOTEUR ELECTRIQUE SIB-C18-004A	SIB-C18-004A	1.00	816.5900
REDUCTEUR NMRV/040 SIB-C13-079	C13-079	5.00	622.6000
REDUCTEUR SIB-C13-052	SIB-C13-052	2.00	622.6000
PISTON EXTRACTION PH25302901	PH25302901	2.00	5830.9400
PISTON EXTRACTION(CHANDELLE) PH25202913	PH25202913	2.00	7144.2500
ANNEAU POLYCORD 56.03.087	56.03.087	5.00	163.5200
GARNITURE 1502990	1502990	4.00	51.8500
GROUPE ROUE 25.01.003	25.01.003	2.00	410.1400
VALVE 1407802	1407802	1.00	998.1400
EXPULSEUR 17505021	17505021	1.00	1492.4000
RACLEUR 17502103	17502103	1.00	1156.1700
PERNO EXCENTRICO 92201029	92201029	2.00	749.3900
PERNO 92201019	92201019	2.00	115.2400
ROULEAU L1750 89.03.423.X3	89.03.423.X3	8.00	420.0000
BAGUE TRACTION ROULEAU 79.03.478	79.03.478	3.00	46.7000
GROUPE POULIE 79.01.010	79.01.010	3.00	155.5600
MOTEUR ELECTRIQUE T71 7108B351010	7108B351010	1.00	700.0000
REDUCTEUR NMRV/063 700512031	700512031	1.00	1432.0300
REDUCTEUR NMRV/050 700404030	700404030	1.00	817.1500
PALPEUR 25202902	25202902	2.00	5249.8800
BOBINE 05582001	05582001	1.00	77.0500
FILTRE A L'HUILE(ex code 05673040)	05673099	2.00	830.1400
FILTRE CARTOUCHE 05673099	05673099	3.00	1450.6200
FILTRE CARTOUCHE 05671885	05671885	3.00	954.1200
FILTRE CARTOUCHE 05671430	05671430	2.00	293.7700
INDICATEUR DIFFERENTIEL 05671168	05671168	1.00	636.6000
VALVE INTERCHANGE 05584401	05584401	1.00	1156.2800
ELECTROVANNE DISTRIBUTION 05584311	05584311	2.00	3119.9800
KIT PARA MOL14002801 05583273	05583273	1.00	163.1800
KIT GARNITURE 05583258	05583258	5.00	15.6800
KIT GARNITURE 05583256	05583256	1.00	219.9600
KIT GARNITURE 05583219	05583219	1.00	180.2000
KIT GARNITURE 05583218	05583218	1.00	141.3400
CAPTEUR INDUCTIF 01.02.067	01.02.067	2.00	85.4500
FILTRE CARTOUCHE 05673902	05673902	3.00	388.4100
ELECTROVANNE 05576058	05576058	1.00	732.3600
VALVE ANTIRETOUR 05558318	05558318	1.00	359.7400
VALVE REDUCTION PRESSION 05565580	05565580	1.00	2099.7700
VALVE 05572078	05572078	2.00	311.3600
VALVE UNIDIRECTIONNEL 05572105	05572105	2.00	156.0100
ELECTROVANNE MANUELLE 05572515	05572515	1.00	618.9100
VALVE ARRET HUILE 05583050	05583050	1.00	1133.5500
ELECTROVANNE 05576053	05576053	1.00	3699.6900
POULIE 25.03.145	25.03.145	1.00	443.2900
ELECTROVANNE 05576061	05576061	1.00	1302.4400
ELECTROVANNE PROPORTIONNELLE 05576103	05576103	1.00	9056.4300
BOBINE 05580566	05580566	1.00	570.6400
VALVE 05580735	05580735	1.00	1841.2800
ELECTROVANNE 05580899	05580899	1.00	547.6800
KIT GARNITURE 05583213	05583213	2.00	86.1200
VALVE 05576051	05576051	1.00	630.8900
FILTRE 05810001	05810001	2.00	119.3900
GROUPE POULIE FOLLE 01.01.012.A	01.01.012.A	2.00	108.8600
GROUPE POULIE FOLLE 01.01.011.A	01.01.011.A	4.00	140.0000
INVERTER CCT+0005826	CCT+0005826	1.00	1812.1600
ROUE COMPLETE 06436033	06436033	4.00	408.3500
COUVERCLE 05810017	05810017	1.00	25.0800
MOTEUR ELECTRIQUE 05810013	05810013	1.00	1673.5000
CAPTEUR DE NIVEAU 05810011	05810011	2.00	647.5800
SEMI JOINT 05810009	05810009	1.00	62.7200
INSERT ELASTIQUE 05810004	05810004	1.00	25.6400
MANOMETRE A GLYCERINE 05738002	05738002	2.00	179.5300
POMPE 05810002	05810002	1.00	1022.4400
PRESOSTAT 05780303	05780303	1.00	236.4300
BOBINE 05582004	05582004	1.00	72.0100
GROUPE POULIE FOLLE 01.01.083	01.01.083	2.00	140.0000
GROUPE POULIE FOLLE 01.01.084	01.01.084	6.00	124.4300
PRESOSTAT 05780144	05780144	1.00	5964.6700
PRESOSTAT 05780041	05780041	1.00	1607.6400
THERMOSTAT 05742003	05742003	1.00	509.8200
SEMI JOINT 05810003	05810003	1.00	67.2000
BARRETTE DE CONNEXION 16mm²	16mm²	1.00	12.5000
SCOTCH TRANSPARENT 50mmX100M	50mmX100M	720.00	9.8000
FLEXIBLE A GRAISSE 1/8	1/8	1.00	78.0000
GANT CUIR TYPE CONDUCTEUR CAT II NORME EN 388-T 9	CAT II NORME EN 388-T 9	2.00	35.0000
BOBINE FEUILLARD EN POLYPROPYLENE PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	PP1508ECO-NR-D1-15X0.8 MM ECO DIAM 200MM-POIDS 10KG	11.00	320.0000
ARRET URGENCE AU2PA	AU2PA	1.00	85.0000
DISJONCTEUR MAGNETO-THERMIQUE GV2 ME16 9 -14A	GV2 ME16 9 -14A	1.00	630.0000
BALAI CANTONNIER 400MM-PVC FIBRE	400MM-PVC FIBRE	1.00	41.6700
MANCHE CANTONNIER I.20	I.20	1.00	23.0000
COSSE A SERTIR 35MM²T10	35MM²T10	8.00	3.8000
COSSE A SERTIR 95MM²T10	95MM²T10	4.00	13.7500
POMPE A GRAISSE TOPTUL JJAA1440	JJAA1440	1.00	220.0000
SIRENE MS.190-220V	MS.190-220V	1.00	85.0000
CHAPES A PICOTS PP 16M/M	PP 16M/M	6000.00	0.1200
BORNE SUR RAIL 2,5-4mm²	2,5-4mm²	16.00	4.0000
BORNE SUR RAIL 16mm²	16mm²	8.00	12.5000
BARRETTE DE CONNEXION 10mm²	10mm²	1.00	7.5000
COSSE A SERTIR 150MM²T12	150MM²T12	4.00	20.0000
COSSE A SERTIR 50MM²T12	50MM²T12	6.00	7.0000
HUILE SPINDLE-10W 20LT	10W 20LT	4.00	708.0000
HUILE MEGA-40  5LT	MEGA-40  5LT	8.00	178.0000
BATTERIE POWER M14	M14	2.00	1800.0000
HUILE MEGA-40 20LT	MEGA-40 20LT	20.00	35.2500
